feature,coefficient,std_error,t_value,p_value,CI_lower,CI_upper,abs_t
COMPANY_NAME_ohe_787,-7293.980501161895,3414.512560020847,-2.1361703531462077,0.032665530995941605,-13986.425118802756,-601.5358835210345,2.1361703531462077
COMPANY_NAME_ohe_320,-11809.834349031717,5532.244410333711,-2.134727512575558,0.032783274310152155,-22653.03339328579,-966.6353047776429,2.134727512575558
COMPANY_NAME_ohe_644,-15417.482520510857,7228.11477867619,-2.132988060177778,0.03292570566992348,-29584.58748671619,-1250.3775543055253,2.132988060177778
COMPANY_NAME_ohe_772,-9762.01465810849,4579.685120431866,-2.1315907974886987,0.033040500931926786,-18738.19749415495,-785.8318220620313,2.1315907974886987
COMPANY_NAME_ohe_283,-8181.699268699261,3838.7017851478436,-2.1313714184193007,0.0330585555940659,-15705.554767589034,-657.8437698094876,2.1313714184193007
COMPANY_NAME_ohe_249,-11894.401275445287,5580.773469228759,-2.1313177001411323,0.03306297783758927,-22832.717275133655,-956.085275756921,2.1313177001411323
COMPANY_NAME_ohe_339,-6504.555717068003,3051.9648362327594,-2.1312682373814646,0.033067050202316706,-12486.406796084211,-522.704638051795,2.1312682373814646
LOT_V6_SPECIALIZED_OCCUPATION_NAME_ohe_1,-830.3165555385341,389.97558093072087,-2.129150121545789,0.03324184207204417,-1594.668694162747,-65.96441691432119,2.129150121545789
COMPANY_NAME_ohe_589,-11986.51726754296,5636.72456983899,-2.1265039863186628,0.03346131768868865,-23034.49742442738,-938.5371106585408,2.1265039863186628
COMPANY_NAME_ohe_659,-16228.41210592453,7636.025325646523,-2.1252433581407106,0.033566311863947096,-31195.021744191712,-1261.802467657346,2.1252433581407106
COMPANY_NAME_ohe_487,8484.705707058325,3994.430232467618,2.1241341601344663,0.033658926777500486,655.6224514217938,16313.788962694856,2.1241341601344663
COMPANY_NAME_ohe_604,-11341.579227457329,5340.096537641672,-2.1238528456390173,0.033682450460553515,-21808.168441235004,-874.9900136796532,2.1238528456390173
COMPANY_NAME_ohe_793,-12749.887852357675,6003.712416107024,-2.123667319265945,0.033697971977530106,-24517.164187927443,-982.611516787907,2.123667319265945
COMPANY_NAME_ohe_792,6902.022873854083,3251.9005492604015,2.1224581654023367,0.03379928219450745,528.2977973036959,13275.74795040447,2.1224581654023367
COMPANY_NAME_ohe_465,-9236.463879755669,4351.890967948103,-2.122402410304553,0.03380395996838992,-17766.17017693395,-706.7575825773874,2.122402410304553
COMPANY_NAME_ohe_378,-8078.782203482378,3807.3021652563034,-2.1219177918699614,0.033844642092415,-15541.094447384732,-616.469959580023,2.1219177918699614
COMPANY_NAME_ohe_349,-11684.613486368326,5507.999743568886,-2.1213896206170353,0.0338890280006614,-22480.292983763342,-888.9339889733092,2.1213896206170353
COMPANY_NAME_ohe_580,-8758.998482148689,4129.019354652025,-2.1213265741368406,0.03389432955895244,-16851.876417266656,-666.1205470307195,2.1213265741368406
COMPANY_NAME_ohe_153,-6363.364182980938,3001.1916145795217,-2.1202792091208975,0.033982505939692764,-12245.699747556799,-481.0286184050756,2.1202792091208975
COMPANY_NAME_ohe_574,17732.07514961194,8370.260905423156,2.1184614613533963,0.034136005444728834,1326.3637749825539,34137.786524241325,2.1184614613533963
COMPANY_NAME_ohe_392,-6485.162244719882,3063.592309793343,-2.1168489762782254,0.03427266720977684,-12489.803171914835,-480.52131752493096,2.1168489762782254
COMPANY_NAME_ohe_251,-7124.643989876935,3366.7815514104464,-2.1161586758998983,0.03433131449740556,-13723.53583064141,-525.7521491124598,2.1161586758998983
COMPANY_NAME_ohe_502,16776.37056043756,7928.389626561296,2.1159871487942774,0.03434590057772002,1236.7268923774209,32316.0142284977,2.1159871487942774
